Titles,Runtime,User Rating,Metascore,Genre,Gross,Votes
Megamind,95 min,7.3,63,Animation,$148.38M,"114,729"
Little Fockers,98 min,5.5,27,Comedy,$148.31M,"260,975"
Hotel Transylvania,91 min,7,47,Animation,$148.21M,"188,515"
Talladega Nights: The Ballad of Ricky Bobby,108 min,6.6,66,Comedy,$148.10M,"781,526"
Gran Torino,116 min,8.1,72,Drama,$146.88M,"261,945"
War for the Planet of the Apes,140 min,7.4,82,Action,$146.41M,"698,578"
X-Men: First Class,131 min,7.7,65,Action,$145.79M,"195,291"
Lilo & Stitch,85 min,7.3,73,Animation,$145.10M,"259,774"
American Pie 2,108 min,6.4,43,Comedy,$145.00M,"608,813"
Taken,90 min,7.8,51,Action,$144.84M,"554,346"
The Great Gatsby,143 min,7.2,55,Drama,$144.80M,"547,488"
"I, Robot",115 min,7.1,59,Action,$144.53M,"391,143"
The Fast and the Furious,106 min,6.8,58,Action,$144.13M,"251,571"
Mamma Mia!,108 min,6.5,51,Comedy,$144.11M,"166,921"
Pokémon: Detective Pikachu,104 min,6.5,53,Action,$143.62M,"232,546"
Rio,96 min,6.9,63,Animation,$143.53M,"164,619"
Kung Fu Panda 3,95 min,7.1,66,Animation,$143.50M,"527,944"
Juno,96 min,7.5,81,Comedy,$143.15M,"160,824"
Marley & Me,115 min,7,53,Drama,$143.01M,"174,775"
The Meg,113 min,5.6,46,Action,$142.61M,"92,103"
The Smurfs,103 min,5.4,30,Animation,$142.50M,"755,645"
Once Upon a Time in Hollywood,161 min,7.6,83,Comedy,$142.11M,"181,728"
xXx,124 min,5.8,48,Action,$141.62M,"214,516"
The Chronicles of Narnia: Prince Caspian,150 min,6.5,62,Action,$141.32M,"851,481"
Slumdog Millionaire,120 min,8,84,Crime,$140.37M,"345,753"
Shazam!,132 min,7,71,Action,$140.22M,"224,354"
Ocean's Eight,110 min,6.3,61,Action,$140.13M,"172,498"
Rush Hour 3,91 min,6.2,44,Action,$139.85M,"310,887"
Taken 2,92 min,6.2,45,Action,$139.31M,"518,885"
The Matrix Revolutions,129 min,6.7,47,Action,$139.24M,"60,523"
The Santa Clause 2,104 min,5.7,48,Comedy,$138.80M,"685,743"
The King's Speech,118 min,8,88,Biography,$138.61M,"104,151"
Cheaper by the Dozen,98 min,5.9,46,Comedy,$138.61M,"255,186"
Bad Boys II,147 min,6.6,38,Action,$138.45M,"566,297"
21 Jump Street,109 min,7.2,69,Action,$138.29M,"508,016"
Split,117 min,7.3,62,Horror,$137.86M,"121,204"
A Christmas Carol,96 min,6.8,55,Animation,$137.75M,"62,712"
Dinosaur,82 min,6.4,56,Animation,$137.69M,"443,831"
Bee Movie,91 min,6.1,54,Animation,$137.40M,"516,494"
The Conjuring,112 min,7.5,68,Horror,$137.36M,"337,177"
Click,107 min,6.4,45,Comedy,$136.03M,"619,317"
Argo,120 min,7.7,86,Biography,$135.65M,"219,114"
Anger Management,106 min,6.2,52,Comedy,$135.39M,"94,988"
Chicken Little,81 min,5.7,48,Animation,$134.94M,"116,734"
Ride Along,99 min,6.1,41,Action,$134.53M,"409,970"
Live Free or Die Hard,128 min,7.1,69,Action,$134.52M,"498,366"
The Incredible Hulk,112 min,6.6,61,Action,$134.51M,"393,965"
Wanted,110 min,6.7,64,Action,$134.51M,"135,642"
Identity Thief,111 min,5.7,35,Comedy,$134.03M,"361,882"
Mission: Impossible III,126 min,6.9,66,Action,$133.67M,"157,947"
Grown Ups 2,101 min,5.3,19,Comedy,$133.38M,"541,687"
Troy,163 min,7.3,56,Drama,$133.38M,"297,414"
Angels & Demons,138 min,6.7,48,Action,$133.11M,"36,605"
Alvin and the Chipmunks: Chipwrecked,87 min,4.3,24,Animation,$132.72M,"37,991"
Bringing Down the House,105 min,5.6,39,Comedy,$132.56M,"472,270"
The Wolverine,126 min,6.7,61,Action,$132.42M,"167,543"
